m_boys_wt,s_boys_wt,m_girls_wt,s_girls_wt,m_boys_lh,s_boys_lh,m_girls_lh,s_girls_lh,m_boys_hc,s_boys_hc,m_girls_hc,s_girls_hc
1.776119828,0.129561439,1.684955955,0.129561439,4.098003387,0.033677086,4.066507339,0.033677086,39.85670853,1.028735876,39.0609169,1.028735876
1.780534744,0.12951386,1.689370871,0.12951386,4.099501133,0.033677187,4.068005085,0.033677187,39.90209579,1.030310154,39.10630417,1.030310154
1.784912705,0.129467458,1.693748713,0.129467458,4.100989819,0.03367779,4.069493771,0.03367779,39.94723129,1.031897783,39.15143967,1.031897783
1.789253831,0.129422203,1.698089838,0.129422203,4.102468967,0.033678893,4.070972919,0.033678893,39.99212265,1.033498526,39.19633102,1.033498526
1.793558598,0.129378095,1.702394724,0.129378095,4.103939056,0.03368048,4.072443008,0.03368048,40.03676605,1.035112023,39.24097443,1.035112023
1.797827482,0.12933512,1.706663609,0.12933512,4.105400562,0.033682544,4.073904514,0.033682544,40.08116531,1.036738157,39.2853775,1.036738157
1.802060962,0.129293233,1.710897088,0.129293233,4.106853008,0.033685073,4.07535696,0.033685073,40.12532806,1.038376331,39.32953644,1.038376331
1.806259274,0.129252434,1.715095282,0.129252434,4.108296871,0.033688065,4.076800346,0.033688065,40.16924667,1.040026546,39.37345505,1.040026546
1.810422659,0.129212707,1.719258785,0.129212707,4.109731674,0.033691507,4.078235626,0.033691507,40.21292877,1.041688442,39.41714096,1.041688442
1.81455183,0.129174039,1.723387837,0.129174039,4.111157894,0.033695389,4.079661846,0.033695389,40.25637817,1.043361783,39.46058655,1.043361783
1.818646908,0.129136384,1.727482915,0.129136384,4.112576008,0.033699702,4.08107996,0.033699702,40.29959106,1.045046329,39.50379944,1.045046329
1.822708249,0.129099756,1.731544375,0.129099756,4.113985538,0.033704441,4.082489491,0.033704441,40.34257126,1.046741724,39.54678345,1.046741724
1.82673645,0.129064128,1.735572577,0.129064128,4.115386486,0.033709597,4.083890438,0.033709597,40.38532639,1.048447847,39.58953476,1.048447847
1.83073175,0.129029483,1.739567876,0.129029483,4.116779804,0.033715159,4.085283756,0.033715159,40.42784882,1.050164461,39.632061,1.050164461
1.834694386,0.128995806,1.743530393,0.128995806,4.118164539,0.033721123,4.086668491,0.033721123,40.47014999,1.051891208,39.67435837,1.051891208
1.838624716,0.128963083,1.747460842,0.128963083,4.119541168,0.033727478,4.08804512,0.033727478,40.51222229,1.053627849,39.71643066,1.053627849
1.842523217,0.128931284,1.751359344,0.128931284,4.120910168,0.033734221,4.08941412,0.033734221,40.55407333,1.055374265,39.75828171,1.055374265
1.846390128,0.128900424,1.755226254,0.128900424,4.122271061,0.03374134,4.090775013,0.03374134,40.59570313,1.057130218,39.7999115,1.057130218
1.850225806,0.128870457,1.759061933,0.128870457,4.123624325,0.033748828,4.092128277,0.033748828,40.63711548,1.05889535,39.84132385,1.05889535
1.854030609,0.128841385,1.762866735,0.128841385,4.124969959,0.033756677,4.093473434,0.033756677,40.67830658,1.060669661,39.88251877,1.060669661
1.857805014,0.128813192,1.76664114,0.128813192,4.126307487,0.033764888,4.09481144,0.033764888,40.71928787,1.062452793,39.92349625,1.062452793
1.86154902,0.128785864,1.770385027,0.128785864,4.127637863,0.033773441,4.096141815,0.033773441,40.76005173,1.064244628,39.9642601,1.064244628
1.865262985,0.128759369,1.774099112,0.128759369,4.128960609,0.033782341,4.097464561,0.033782341,40.80060196,1.066044807,40.00481415,1.066044807
