,m_boys_wt,s_boys_wt,m_girls_wt,s_girls_wt,m_boys_lh,s_boys_lh,m_girls_lh,s_girls_lh,m_boys_hc,s_boys_hc,m_girls_hc,s_girls_hc,m_len_-3,m_wei_-3,m_hc_-3,f_len_-3,f_wei_-3,f_hc_-3,m_len_-2,m_wei_-2,m_hc_-2,f_len_-2,f_wei_-2,f_hc_-2,m_len_-1,m_wei_-1,m_hc_-1,f_len_-1,f_wei_-1,f_hc_-1,m_len_0,m_wei_0,m_hc_0,f_len_0,f_wei_0,f_hc_0,m_len_1,m_wei_1,m_hc_1,f_len_1,f_wei_1,f_hc_1,m_len_2,m_wei_2,m_hc_2,f_len_2,f_wei_2,f_hc_2,m_len_3,m_wei_3,m_hc_3,f_len_3,f_wei_3,f_hc_3
212,1.924108624,0.128426507,1.8329447509999999,0.128426507,4.15037632,0.033979828999999996,4.118880272,0.033979828999999996,41.45903778,1.0977532859999999,40.66324997,1.0977532859999999,57.30780532327091,4.65913171256208,38.165777922000004,55.53096455039925,4.253172733694981,37.369990112,59.2885773108734,5.297609123477125,39.263531208,57.4503222784697,4.836018397375679,38.467743398,61.33781218315174,6.023582108545967,40.361284494,59.43602018481967,5.498735979960616,39.565496684,63.45787627333726,6.849040873476166,41.45903778,61.490351234012024,6.252270957803094,40.66324997,65.65121770398405,7.787618736033236,42.556791066,63.61568764403697,7.109068751845766,41.761003256,67.92036921391357,8.85481729459078,43.654544352,65.81448362560657,8.083280276808113,42.858756542,70.26795108286899,10.0682624532955,44.752297638,68.0892782161296,9.19099565839346,43.956509828
213,1.927333355,0.128413156,1.836169481,0.128413156,4.151576996,0.03399384,4.120080948,0.03399384,41.49603653,1.09967351,40.700244899999994,1.09967351,57.37424309214955,4.6743676286856735,38.197016,55.59534240203037,4.267081111295495,37.401224369999994,59.35814307852741,5.314861977652506,39.29668951,57.51773114460452,4.851767972807144,38.50089788,61.410642822284714,6.043118574616466,40.396363019999995,59.50659269439427,5.516570191188717,39.60057138999999,63.53411438186433,6.871162837422271,41.49603653,61.56422556366267,6.2724653868194356,40.700244899999994,65.73101183730034,7.812667938816559,42.59571004,63.693007743166945,7.131935362970527,41.79991841,68.00387412637978,8.883180586229651,43.695383549999995,65.8953994503845,8.109172212966374,42.89959191999999,70.35532797887387,10.100377738506648,44.79505706,68.17394597276764,9.220312668699897,43.999265429999994
214,1.9305336480000002,0.12840043,1.839369655,0.12840043,4.1527714730000005,0.034008082,4.121275425,0.034008082,41.53285217,1.101598978,40.73706055,1.101598978,57.44036200295694,4.6895299708457,38.228055235999996,55.65941128185302,4.280921820394881,37.432263616,59.427394623412404,5.332034048573336,39.329654214,57.58483553051453,4.867443229392486,38.533862594000006,61.48316460026813,6.062566455891152,40.431253192,59.57686591912538,5.534322883096556,39.635461572000004,63.61004976271325,6.89318779611523,41.53285217,61.63780655177163,6.292570520270661,40.73706055,65.81051019610676,7.8376110741581035,42.634451148,63.770041238339054,7.154704304210099,41.838659528,68.08709108746244,8.911428089103362,43.736050125999995,65.97603625177317,8.134957489277479,42.940258506,70.44242566936751,10.132366844420229,44.837649104,68.25834318072108,9.249513402449127,44.041857484000005
215,1.933709383,0.128388315,1.84254539,0.128388315,4.153959751,0.034022551,4.122463703,0.034022551,41.5694809,1.103529334,40.77369308,1.103529334,57.50616146640529,4.70461733421158,38.258892898,55.723170618850375,4.294694591535435,37.463105078,59.49633113179964,5.349123699467092,39.362422232,57.65163464770085,4.883043824733349,38.566634412,61.555376465401714,6.08192384620281,40.465951566,59.64683883992092,5.551993625172257,39.670163746,63.68568111206013,6.915113530594835,41.5694809,61.71109293494037,6.3125858215365565,40.77369308,65.88971120965662,7.862445560029653,42.673010234,63.84678660750794,7.177374911526129,41.877222414,68.17001824401959,8.939556799888498,43.776539568000004,66.05639223408768,8.160635289084343,42.980751748,70.5292420026404,10.16422627899649,44.880068902000005,68.34246775499466,9.278596860601834,44.084281082000004
216,1.9368609190000001,0.128376797,1.845697045,0.128376797,4.15514183,0.034037244,4.123645782,0.034037244,41.60593414,1.105464458,40.81014252,1.105464458,57.57164072878776,4.719630572517999,38.289540766,55.78661968268446,4.308400208981197,37.493749146,59.564951677834465,5.366131860319678,39.395005224,57.71812759901513,4.898570613353612,38.599213604,61.62727730996627,6.101191756407987,40.500469682,59.71651038340675,5.569583346502969,39.704678062,63.761007130184296,6.936941137007989,41.60593414,61.78408345374631,6.332512298400131,40.81014252,65.96861337565454,7.887172581942337,42.711398598,63.923242394957214,7.199948275227328,41.915606978,68.25265388015532,8.96756799700538,43.816863056,66.13646573463386,8.186206788583076,43.021071436,70.61577503770086,10.195957416353517,44.922327514,68.4263178147775,9.307564307929391,44.126535894
217,1.939988494,0.128365889,1.84882462,0.128365889,4.156318188,0.034052156,4.12482214,0.034052156,41.64220428,1.107404232,40.84641266,1.107404232,57.63682694013169,4.734569609775327,38.319991584,55.84978478159024,4.322037579587327,37.524199964,59.63328408537026,5.383058548093607,39.427395816,57.784341345626245,4.914022446716843,38.631604196,61.69889564705362,6.120370323075414,40.534800048,59.78590817862014,5.587090848280553,39.739008428,63.83605703513339,6.958670903709231,41.64220428,61.8568064203253,6.3523487093137065,40.84641266,66.04724663313166,7.911792618750788,42.749608512,63.99943761145199,7.222423121531679,41.953816892,68.33502867222647,8.995462396239091,43.857012744,66.21628647864152,8.211670695904067,43.061221124,70.70205620489163,10.227561264734957,44.964416976,68.50992381590785,9.336414453058131,44.168625356
218,1.943092465,0.128355548,1.851928592,0.128355548,4.1574888230000004,0.034067281,4.125992775,0.034067281,41.67829514,1.109348655,40.88250732,1.109348655,57.7017198598705,4.7494357475453155,38.350249175,55.9126656824598,4.335608406912326,37.554461355,59.701327778671455,5.399905044155647,39.45959783,57.8502753296494,4.929401080553541,38.66381001,61.770230544118995,6.139460777202437,40.568946485000005,59.85503132193023,5.604517920535022,39.773158665000004,63.910829514862705,6.980303973234218,41.67829514,61.92926056331283,6.372096854831497,40.88250732,66.12560926675594,7.936306676911733,42.787643795,64.07537059484432,7.2448012305538905,41.991855975,68.41714047668273,9.023240808925781,43.896992450000006,66.29585238902159,8.237028731042903,43.101204630000005,70.7880829063214,10.259038367648644,45.006341105000004,68.59328324104271,9.365148905657277,44.210553285
219,1.946172953,0.12834578800000002,1.855009079,0.12834578800000002,4.158653258999999,0.034082614,4.127157211,0.034082614,41.71421051,1.111297369,40.9184227,1.111297369,57.766291701362604,4.764228379757027,38.380318403000004,55.97523546018254,4.349112124686544,37.584530593,59.76905373864307,5.416670766501852,39.491615772,57.91590143173294,4.94470596878267,38.695827962,61.84125169884391,6.158462578607977,40.602913141,59.92385045054829,5.621864053338742,39.807125331,63.98529293106704,7.001839869364681,41.71421051,62.001415225356205,6.3917562811127455,40.9184227,66.2036682474038,7.960714371557699,42.825507879,64.15100934008588,7.2670822292263235,42.029720069,68.4989548166035,9.050902975202648,43.936805248,66.37513005781783,8.26228063206803,43.141017438,70.87381915806594,10.290388631353794,45.048102617,68.67636122194699,9.393767552058408,44.252314807000005
220,1.949230194,0.128336594,1.85806632,0.128336594,4.159811974,0.034098156,4.128315926,0.034098156,41.74995041,1.113250494,40.9541626,1.113250494,57.83056869317777,4.778947872882906,38.410198928,56.03751953010559,4.362549080457809,37.61441111799999,59.8364891904868,5.433356081961925,39.523449422,57.98124603295519,4.959937461059563,38.727661612,61.91198737192471,6.177376087507697,40.636699916,59.992392948941614,5.639129592334657,39.840912106,64.05947662034244,7.023278936787953,41.74995041,62.07329883346383,6.411327321927813,40.9541626,66.28145402958053,7.985016020585269,42.863200903999996,64.22638335743329,7.28926642948103,42.067413093999996,68.5805033080821,9.078449172084833,43.976451397999995,66.45415012085965,8.287426676568824,43.180663587999994,70.95929778322065,10.321612274496955,45.089701891999994,68.7591895640289,9.42227061995242,44.293914082
221,1.952264547,0.128327951,1.861100674,0.128327951,4.160964966,0.034113895,4.129468918,0.034113895,41.78551865,1.115207672,40.98972702,1.115207672,57.89455165913703,4.793595202084764,38.439895634,56.0995186905074,4.375920164460546,37.644104004,59.90363429587477,5.44996204810256,39.555103306,58.046309289975746,4.975096522848818,38.759311675999996,61.982437017241644,6.19620244797488,40.670310978,60.06065828792318,5.656315581962573,39.874519348,64.13337928081089,7.044622409738914,41.78551865,62.144910126122895,6.430811104029067,40.98972702,66.35896450525502,8.009212951396599,42.900726322,64.30149060421553,7.311355043127648,42.10493469199999,68.66178298400149,9.105880822247846,44.015933994,66.53290970302629,8.31246816333582,43.220142364,71.04451489999934,10.352710815926374,45.131141666,68.84176450585804,9.45065949593295,44.335350035999994
