,sex,age,l,m,s,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,61,-0.7387,15.2641,0.0839,12.117551693195123,13.03081210403915,14.070788802806653,15.2641,16.645106620659124,18.258879651575025,20.16562093238729
1,1,62,-0.7621,15.2616,0.08413999999999999,12.115368038075513,13.026795676273487,14.066379011025122,15.2616,16.64814329426488,18.273136135687313,20.20003071864427
2,1,63,-0.7856,15.2604,0.08438999999999999,12.113971770761047,13.02369854453656,14.06305056517691,15.2604,16.652806523509312,18.289552885787653,20.23753511233078
3,1,64,-0.8089,15.2605,0.08463999999999999,12.11357766058326,13.021704789519667,14.060921589327146,15.2605,16.658901152829337,18.30762594709883,20.277154143457324
4,1,65,-0.8322,15.2619,0.0849,12.113946308488476,13.020616928996445,14.059869344656166,15.2619,16.66662118215746,18.327851629049782,20.31985662880826
5,1,66,-0.8554,15.2645,0.08516,12.11527060549567,13.02056316729457,14.059928360221623,15.2645,16.67567419997493,18.349662986513348,20.36468546974823
6,1,67,-0.8785,15.2684,0.08542999999999999,12.117332758983661,13.02140161408228,14.061059327493878,15.2684,16.68635145910855,18.373618853867306,20.41258543930527
7,1,68,-0.9015,15.2737,0.0857,12.120511428222272,13.023444867012214,14.063484960035414,15.2737,16.698584709081626,18.399419650026918,20.462939917761425
8,1,69,-0.9243,15.2801,0.08597,12.124537746819504,13.026420490887052,14.066923654454502,15.2801,16.712040835929933,18.42667665908822,20.51527286129475
9,1,70,-0.9471,15.2877,0.08625,12.129258792197783,13.03022055248722,14.071346153179745,15.2877,16.72702664171309,18.456026053321867,20.570752153155137
10,1,71,-0.9697,15.2965,0.08653,12.134908654935465,13.035038199698484,14.076872941748123,15.2965,16.74334901372893,18.48697053736447,20.628406008686408
11,1,72,-0.9921,15.3062,0.08682000000000001,12.140959322079356,13.040394436309713,14.083097611493963,15.3062,16.760864348333097,18.51960006924164,20.688684927181974
12,1,73,-1.0144,15.3169,0.08711,12.147811958039943,13.046613546157147,14.090246425322038,15.3169,16.779508392785615,18.553635479197585,20.751030660502238
13,1,74,-1.0365,15.3285,0.08741,12.155069649609194,13.053372624372367,14.098092766377823,15.3285,16.79935052730229,18.58937920359684,20.816081997640264
14,1,75,-1.0584,15.3408,0.08771,12.162862536746655,13.060723007042528,14.106581774754943,15.3408,16.81998925863436,18.62614570276377,20.882748859417653
