,sex,age,l,m,s,z=-3,z=-2,z=-1,z=0,z=1,z=2,z=3
0,1,0,0.3487,3.3464,0.14602,2.0803078131632184,2.4593124390190946,2.880651448407322,3.3464,3.8586185706928195,4.419353800695619,5.0306392513813405
1,1,1,0.3127,3.3174,0.14693,2.0645188703968262,2.437398559940835,2.8541352501151707,3.3174,3.829889470481708,4.394324975214001,5.013451607181914
2,1,2,0.3029,3.3369999999999997,0.14676,2.08034051890684,2.453891842553397,2.87183207645977,3.3369999999999997,3.8522745024285263,4.420573327331539,5.044851908602438
3,1,3,0.2959,3.3627,0.14647000000000002,2.100177915069036,2.4752047636670724,2.8950586946200882,3.3627,3.8811403359174226,4.453441328191928,5.0827132727921605
4,1,4,0.2903,3.3915,0.14611,2.1221651768511993,2.499045214499252,2.9211375509842115,3.3915,3.9132512330100924,4.489569330670024,5.123690426912406
5,1,5,0.2855,3.4223,0.14570999999999998,2.145559226727133,2.5245234530755796,2.94905650292469,3.4223,3.947464889340452,4.527829986371526,5.166740613766615
6,1,6,0.2813,3.4545,0.14528,2.169971151226863,2.551174541660559,2.9782792147523587,3.4545,3.983128673213923,4.56753253954204,5.211153097898652
7,1,7,0.2776,3.4879,0.14483,2.195234645632184,2.5788139414640363,3.0086092767422357,3.4879,4.020049277345227,4.608502734639225,5.256787173999338
8,1,8,0.2742,3.5222,0.14436,2.221217355337312,2.607249473278569,3.039797641134613,3.5222,4.057884926387538,4.650369753832496,5.30325956127201
9,1,9,0.2711,3.5576,0.14388,2.247976336036621,2.63657741924464,3.0719879889715442,3.5576,4.096901584963745,4.693475869558202,5.35099984692051
10,1,10,0.2681,3.5941,0.14339000000000002,2.2755668180065243,2.6668263964543413,3.10518940514886,3.5941,4.1371043547745225,4.737849586109429,5.400082729826467
11,1,11,0.2654,3.6319,0.1429,2.3039942103720366,2.698066655863992,3.139537874484284,3.6319,4.178752517010467,4.783801301313188,5.45085770414287
12,1,12,0.2628,3.6710000000000003,0.14240999999999998,2.333312417591161,2.7303257807837746,3.1750418694155615,3.6710000000000003,4.2218520648084175,4.831361697900421,5.503403477675213
13,1,13,0.2604,3.7113,0.14192000000000002,2.363437182363376,2.763520221523536,3.211613214393281,3.7113,4.266281878416368,4.880376905882079,5.557519219537252
14,1,14,0.2581,3.7529,0.14142000000000002,2.3945418589878145,2.797800075960654,3.249377205480363,3.7529,4.312117390524106,4.930899917347049,5.6132391837332385
15,1,15,0.2558,3.7956,0.14093,2.426367812881391,2.83291167050473,3.288098699929929,3.7956,4.359213675922192,4.98286441683761,5.670603089698127
16,1,16,0.2537,3.8389,0.14044,2.4586277881879712,2.8685189269740827,3.3273722950629345,3.8389,4.406945586847455,5.035483760169109,5.728620116315638
17,1,17,0.2517,3.8828,0.13996,2.491265136577293,2.904573089197256,3.3671672792776164,3.8828,4.455359268176275,5.088868692752199,5.787487347988846
18,1,18,0.2497,3.927,0.13948,2.524195957223878,2.9409244684605618,3.4072616999220835,3.927,4.504071759849168,5.142549437257442,5.846645579701336
19,1,19,0.2478,3.9714,0.139,2.5573311859276533,2.9774861790117533,3.4475656563604034,3.9714,4.552963745108376,5.196375759634055,5.905899418040204
20,1,20,0.24600000000000002,4.0158,0.13853,2.590455583383875,3.0140437431150664,3.4878695498403363,4.0158,4.601850170881607,5.250183555063541,5.965112384359878
21,1,21,0.2442,4.0603,0.13807,2.6236563407128983,3.050682681382115,3.5282625374012544,4.0603,4.6508512262013975,5.304124935308557,6.024482890455926
22,1,22,0.2425,4.1046,0.13760999999999998,2.656799120851237,3.087228722785906,3.5685160968420253,4.1046,4.699574998886375,5.357692125576793,6.083359514481554
23,1,23,0.2408,4.1489,0.13715,2.6900387558980636,3.123844681416612,3.608807438797938,4.1489,4.748254894392896,5.411165030029928,6.142084492238254
24,1,24,0.2392,4.1930000000000005,0.1367,2.7231285172273143,3.1602992604229314,3.6489212255978876,4.1930000000000005,4.796704270097739,5.464366804095508,6.200485408450623
25,1,25,0.2376,4.2369,0.13626,2.7560908055732174,3.1966026132111796,3.6888595342920194,4.2369,4.844929122393513,5.517319843828673,6.258614057287242
26,1,26,0.2361,4.2806,0.13582,2.7889880975638057,3.2328081549603818,3.728655847461863,4.2806,4.892879439579629,5.569904305476135,6.316257327676871
27,1,27,0.2346,4.324,0.13539,2.821687221100326,3.2687829508674797,3.7681874191311566,4.324,4.940493424262049,5.622115255266502,6.373489330610873
28,1,28,0.2331,4.3671,0.13497,2.8541842983234096,3.3045241689860876,3.807452701354138,4.3671,4.98777291605567,5.673956693775226,6.430316580696574
29,1,29,0.2317,4.41,0.13455,2.886609682743969,3.3401628146087927,3.8465734566278895,4.41,5.034780702569077,5.725435497993205,6.486667766710549
30,1,30,0.2303,4.4525,0.13413,2.918858271342885,3.375559913161534,3.885378531747426,4.4525,5.081293152380411,5.77631176022229,6.542296467278775
31,1,31,0.22899999999999998,4.4946,0.13372,2.9508044301174428,3.41062867959789,3.923823326509369,4.4946,5.12735615385143,5.82667719895237,6.597338594793925
32,1,32,0.2276,4.5363,0.13332,2.9824979846093256,3.445392649964487,3.96191353081024,4.5363,5.17298040802457,5.8765743898033795,6.651895129394079
33,1,33,0.2263,4.5776,0.13292,3.0139802639027495,3.4798963873874436,3.9996814679970707,4.5776,5.218108319559696,5.925857075420198,6.705693656753249
34,1,34,0.225,4.6185,0.13253,3.0451768081064086,3.514077604961485,4.037088739218481,4.6185,5.262795912022309,5.974658373844374,6.758969252743077
35,1,35,0.2237,4.659,0.13215,3.0760837002520516,3.547933449156334,4.074133788089399,4.659,5.307045028524574,6.0229822875617005,6.81172842716458
36,1,36,0.2225,4.699,0.13177,3.1067057174247017,3.5814475006148996,4.110766234718513,4.699,5.350687162936779,6.070569344942807,6.863594347381446
37,1,37,0.2213,4.7386,0.13139,3.137135000207456,3.614708472031388,4.147076761202492,4.7386,5.393841201483227,6.1175693893608205,6.914762684342969
38,1,38,0.2201,4.7778,0.13102,3.1672664782378863,3.6476381744618482,4.18302187466567,4.7778,5.43656047757668,6.16410003463972,6.9654274496199635
39,1,39,0.2189,4.8166,0.13066,3.197096396428504,3.6802338756348267,4.218600086368466,4.8166,5.478846751646651,6.210165101902187,7.0155948560628625
40,1,40,0.2178,4.8549,0.1303,3.226632651639488,3.7124815059157203,4.2537623396207,4.8549,5.520529848971709,6.255501378315531,7.0648817831574275
41,1,41,0.2166,4.8928,0.12994,3.2559959483825742,3.7444838937324545,4.28860328191867,4.8928,5.561733041505596,6.30027829265162,7.1135322779217365
42,1,42,0.2155,4.9303,0.1296,3.2849146049145337,3.7760530458425654,4.323026056759646,4.9303,5.602556762287289,6.344697700252207,7.1618475464997235
43,1,43,0.2144,4.9674,0.12925,3.3137354556011376,3.8074399453662156,4.357166412700597,4.9674,5.64284369417251,6.388422431262517,7.209287163035517
44,1,44,0.2133,5.0041,0.12891,3.342241560398755,3.838483288918168,4.390934683833296,5.0041,5.682703691742393,6.431694679416449,7.256250579537518
45,1,45,0.2122,5.0404,0.12858,3.3704294046809826,3.8691805240182844,4.424329481597821,5.0404,5.722138393078502,6.474517997412931,7.30274356912397
46,1,46,0.2112,5.0763,0.12825,3.3983783415166218,3.8995977805053337,4.457391451354563,5.0763,5.761088745846828,6.516752261801817,7.3485189215148266
47,1,47,0.2101,5.1118,0.12792,3.4261436910053953,3.9297619871430505,4.490127824547457,5.1118,5.79956431216084,6.558438308698344,7.393676002837811
48,1,48,0.2091,5.1469,0.1276,3.4535555534105553,3.959561162321624,4.522484159737399,5.1469,5.8376132266728575,6.599662371725522,7.438324826345333
49,1,49,0.2081,5.1817,0.12729000000000001,3.480705895775339,3.9890836693499163,4.554550832594073,5.1817,5.875355006680239,6.640575962369965,7.482664279431102
50,1,50,0.2071,5.2161,0.12697999999999998,3.507638626865533,4.018335060125974,4.586285801942142,5.2161,5.912620122518311,6.680927167809905,7.526345850402945
51,1,51,0.2061,5.2501,0.12667,3.5343528820948213,4.047314703973363,4.617688724468973,5.2501,5.949408975454406,6.720716849980125,7.569370922077134
52,1,52,0.2052,5.2837,0.12637,3.560703472523364,4.0759220206003155,4.648707688645009,5.2837,5.985775693227018,6.76005422792489,7.611903272480383
53,1,53,0.2042,5.3171,0.12607000000000002,3.5869956632203106,4.104423536562565,4.679573165169864,5.3171,6.021898794407115,6.799109269617422,7.654121765220232
54,1,54,0.2032,5.35,0.12577,3.612998001447746,4.132573266700381,4.710017037701821,5.35,6.05743419254232,6.837478833305632,7.695546133210844
